age,overall,pace,shooting,passing,dribbling,defending,physicality,height_cm,weight_kg,international_reputation,weak_foot,skill_moves,wage_eur,release_clause_eur,value_eur,player_positions
22,85,96,94,54,76,56,51,188,65,1,2,3,113102,7585807,16164238,Goalkeeper
35,88,59,92,88,47,15,90,173,60,3,2,3,79432,8623742,15456406,Midfielder
30,65,58,97,46,35,37,73,172,73,1,2,2,81790,2767586,11931015,Attacker
26,71,32,28,26,40,39,49,178,83,3,2,4,75192,6253349,14196735,Defender
23,70,86,67,25,96,36,79,184,69,1,4,3,76335,11123818,12599311,Goalkeeper
36,70,59,86,52,61,78,76,169,77,3,3,4,52596,7173096,13104586,Defender
22,57,38,55,77,73,48,76,174,68,1,3,2,61165,3459594,10479410,Defender
34,65,55,90,68,51,44,80,187,86,1,2,1,92047,12471967,12498310,Goalkeeper
26,80,31,63,36,57,53,84,199,78,5,1,2,67949,4428128,15683393,Goalkeeper
26,91,91,79,61,89,24,68,197,95,4,5,2,105535,13958917,19107648,Goalkeeper
36,59,32,82,91,57,92,43,166,62,2,2,5,65881,7741493,11797436,Defender
19,81,75,24,59,73,41,98,173,97,4,2,2,92087,6652946,16704134,Defender
23,83,97,95,65,79,38,76,189,68,5,1,3,75480,10513979,17260386,Goalkeeper
18,58,54,59,90,96,72,50,199,69,3,5,1,74645,6586190,13147221,Goalkeeper
37,66,80,38,89,96,15,44,171,68,4,4,4,57189,3895902,13285627,Midfielder
36,60,42,66,87,66,36,30,187,76,2,4,5,37065,2355936,10123357,Goalkeeper
17,81,73,84,20,31,37,39,173,97,2,5,3,79504,11344271,14639297,Attacker
27,59,64,86,98,72,14,52,160,79,3,5,1,39574,4789630,11106295,Midfielder
21,71,84,37,71,52,50,47,163,66,2,4,4,95511,6875635,14319865,Defender
17,66,38,69,54,47,65,87,177,63,5,2,1,63737,3856102,14632509,Defender
36,53,31,49,88,22,63,81,195,69,4,2,3,73382,4064925,12949915,Goalkeeper
16,74,90,85,24,45,89,75,191,80,2,1,1,99299,5892314,15050377,Goalkeeper
27,70,70,24,36,73,27,42,187,73,4,5,2,84187,3646772,15451147,Goalkeeper
37,86,73,61,72,59,86,46,187,84,1,2,1,80437,7091985,13963346,Goalkeeper
27,87,93,24,71,85,52,96,197,76,4,2,2,89335,3120351,17334408,Goalkeeper
32,50,60,69,33,87,83,90,191,87,3,1,3,27415,860330,8931022,Goalkeeper
25,74,76,77,48,66,38,94,167,73,5,5,5,97095,10114261,17740131,Attacker
31,85,31,98,27,21,19,82,184,72,2,1,2,111442,4526497,15866156,Goalkeeper
30,66,98,27,20,61,15,34,179,93,5,1,1,50767,6672060,13563887,Attacker
30,90,87,50,48,53,89,61,192,62,4,4,1,90369,3868466,16714378,Goalkeeper
34,73,73,31,55,40,13,74,189,63,2,1,1,70908,6744788,12905510,Goalkeeper
27,51,85,40,70,63,43,85,196,74,5,5,3,27771,3084259,11589702,Goalkeeper
35,89,72,81,56,21,92,34,175,79,3,2,4,116856,6719063,17771080,Defender
18,64,63,52,88,78,42,63,184,67,1,2,1,63750,8707720,10845302,Goalkeeper
20,81,59,45,72,35,13,90,197,64,1,4,1,67892,5958638,12733697,Goalkeeper
34,88,84,59,71,39,53,91,169,61,3,5,2,94266,6394844,16365174,Defender
22,55,96,84,31,45,85,98,164,87,1,2,5,48897,6754408,9388185,Defender
36,50,42,78,71,35,40,92,167,81,3,1,1,54150,7201994,10579519,Defender
